Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Capacitor","For even power distribution purposes",2,1.24,"https://www.daraz.com.np//products/i118048265-s1032371161.html?spm=a2o42.cart.0.0.56086af7jm9r92&urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart","Daraz Nepal"
"Devboard PCB","The brains of the quadruped",1,200.22,"https://jlcpcb.com/","JLCPCB"
"ST-Link V2","For debugging purposes",1,4.13,"https://www.daraz.com.np/products/1-2-8-32-2-i182383635-s1214395677.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Astm32%253Bnid%253A182383635%253Bsrc%253ALazadaMainSrp%253Brn%253A146a5606bfca0931cfb4955a63497813%253Bregion%253Anp%253Bsku%253A182383635_NP%253Bprice%253A614%253Bclient%253Adesktop%253Bsupplier_id%253A900262304077%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A29%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A182383635%253Bsku_id%253A1214395677%253Bshop_id%253A167264%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=614&priceCompare=skuId%3A1214395677%3Bsource%3Alazada-search-voucher%3Bsn%3A146a5606bfca0931cfb4955a63497813%3BoriginPrice%3A61400%3BdisplayPrice%3A61400%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775319301780&ratingscore=&request_id=146a5606bfca0931cfb4955a63497813&review=&sale=0&search=1&source=search&spm=a2a0e.searchlist.list.29&stock=1","Daraz Nepal"
"Male Header Pins","For servos and aux ports",1,0.56,"https://www.daraz.com.np/male-and-female-header-5pcs-i125721003-s1034084394.html","Daraz Nepal"
"Female Header Pins","For GPIO Pins",1,0.79,"https://www.daraz.com.np//products/i125721003-s1099924347.html?spm=a2o42.cart.0.0.67776af7OF6w7k&urlFlag=true","Daraz Nepal"
"XT-60 Connector","To connect the battery to the board",1,0.56,"https://www.daraz.com.np//products/i292427957-s1352897154.html?spm=a2o42.cart.0.0.678f6af7O2kVZF&urlFlag=true","Daraz Nepal"
"2s Lipo Battery","To power the quadruped.",1,17.61,"https://www.daraz.com.np/products/lipo-battery-74v-3000mah-35c-2s-i396892174-s1719582197.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A2s%252Blipo%252Bbattery%253Bnid%253A396892174%253Bsrc%253ALazadaMainSrp%253Brn%253Aa2e058c0a291897a5eeb29c09b9dabbb%253Bregion%253Anp%253Bsku%253A396892174_NP%253Bprice%253A2618%253Bclient%253Adesktop%253Bsupplier_id%253A597%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A22%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000488%253Bitem_id%253A396892174%253Bsku_id%253A1719582197%253Bshop_id%253A8820%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=2618&priceCompare=skuId%3A1719582197%3Bsource%3Alazada-search-voucher%3Bsn%3Aa2e058c0a291897a5eeb29c09b9dabbb%3BoriginPrice%3A261800%3BdisplayPrice%3A261800%3BsinglePromotionId%3A50000040726001%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775318298055&qSellingPoint=p--2s&ratingscore=&request_id=a2e058c0a291897a5eeb29c09b9dabbb&review=&sale=4&search=1&source=search&spm=a2a0e.searchlist.list.22&stock=1","Daraz Nepal"
"Kapton Tape","To insulate metallic parts on the chassis",1,3.69,"https://www.daraz.com.np/products/kapton-tape-20mm1-pcs-i142429548-s1084669079.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Akapton%252Btape%253Bnid%253A142429548%253Bsrc%253ALazadaMainSrp%253Brn%253A4a8827f00638b6839ac21998f6da7b88%253Bregion%253Anp%253Bsku%253A142429548_NP%253Bprice%253A549%253Bclient%253Adesktop%253Bsupplier_id%253A900151926015%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000687%253Bitem_id%253A142429548%253Bsku_id%253A1084669079%253Bshop_id%253A35700%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=549&priceCompare=skuId%3A1084669079%3Bsource%3Alazada-search-voucher%3Bsn%3A4a8827f00638b6839ac21998f6da7b88%3BoriginPrice%3A54900%3BdisplayPrice%3A54900%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1774494022215&ratingscore=5.0&request_id=4a8827f00638b6839ac21998f6da7b88&review=2&sale=3&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1","Daraz Nepal"
"M4 screws (Pack of 100)","To secure the components. ",1,4.88,"https://www.daraz.com.np/products/m3-m4-m5-m6-m8-gb819-316-stainless-steel-cross-phillips-flat-countersunk-head-screw-bolt-lengthen8-70mm-i478914435-s2138766567.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Am4%252Bscrew%253Bnid%253A478914435%253Bsrc%253ALazadaMainSrp%253Brn%253A60b00e20e855661092ea092a076f3402%253Bregion%253Anp%253Bsku%253A478914435_NP%253Bprice%253A645%253Bclient%253Adesktop%253Bsupplier_id%253A900279168309%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A4%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000450%253Bitem_id%253A478914435%253Bsku_id%253A2138766567%253Bshop_id%253A198893%253BtemplateInfo%253A&configId=choice_NP_promotion&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=645&priceCompare=skuId%3A2138766567%3Bsource%3Alazada-search-voucher%3Bsn%3A60b00e20e855661092ea092a076f3402%3BoriginPrice%3A64500%3BdisplayPrice%3A64500%3BsinglePromotionId%3A50000021970002%3BsingleToolCode%3AshopPromPrice_choiceEarlyBird%3BvoucherPricePlugin%3A0%3Btimestamp%3A1774363721791&ratingscore=5.0&request_id=60b00e20e855661092ea092a076f3402&review=1&sale=78&search=1&source=search&spm=a211g0.searchlist.list.4&stock=1&upItemIds=478914435","Daraz Nepal"
"MG996r","To move the joints of the robot.",12,56.52,"https://www.daraz.com.np/products/mg-996r-metal-gear-servo-motor-i124620064-s1033846480.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Aservo%252Bmotor%253Bnid%253A124620064%253Bsrc%253ALazadaMainSrp%253Brn%253A19531ba05565f2683f1e9ffff22b8e9f%253Bregion%253Anp%253Bsku%253A124620064_NP%253Bprice%253A700%253Bclient%253Adesktop%253Bsupplier_id%253A900156978057%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A6%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A124620064%253Bsku_id%253A1033846480%253Bshop_id%253A87928%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=7E%202&priceCompare=skuId%3A1033846480%3Bsource%3Alazada-search-voucher%3Bsn%3A19531ba05565f2683f1e9ffff22b8e9f%3BoriginPrice%3A70000%3BdisplayPrice%3A70000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1773753545099&qSellingPoint=p--servo%20motor&ratingscore=4.666666666666667&request_id=19531ba05565f2683f1e9ffff22b8e9f&review=12&sale=96&search=1&source=search&spm=a2a0e.searchlist.list.6&stock=1","Daraz Nepal"